名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
前进科技,2023-11-10,18.84,20.32,30.34,17.85,114291,275926141.7,101.3,64.8,7.99,89.44
前进科技,2023-11-13,16.85,18.74,20.83,16.84,64929,130076368.05,19.64,-7.78,-1.58,50.81
前进科技,2023-11-14,18.34,21.83,22.4,17.44,66206,138398882.23,26.47,16.49,3.09,51.81
前进科技,2023-11-15,20.64,20.12,21.88,19.89,52336,117385864.15,9.12,-7.83,-1.71,40.96
前进科技,2023-11-16,19.74,17.54,20.24,17.54,42850,86099558.37,13.42,-12.82,-2.58,33.53
前进科技,2023-11-17,17.39,17.91,18.54,17.39,25131,49640315.01,6.56,2.11,0.37,19.67
前进科技,2023-11-20,18.05,18.4,18.65,17.09,27778,54366907.19,8.71,2.74,0.49,21.74
前进科技,2023-11-21,18.14,18.81,21.27,18.14,50597,107178145.85,17.01,2.23,0.41,39.6
前进科技,2023-11-22,18.43,20.54,20.91,18.14,52189,111574967.4,14.73,9.2,1.73,40.84
前进科技,2023-11-23,20.33,19.43,21.93,19.22,46627,103349289.25,13.19,-5.4,-1.11,36.49
前进科技,2023-11-24,19.05,21.13,21.49,18.61,51777,114439467.02,14.82,8.75,1.7,40.52
前进科技,2023-11-27,21.54,23.76,26.45,20.85,69003,172492218.51,26.5,12.45,2.63,54.0
前进科技,2023-11-28,22.29,24.77,28.22,21.78,65420,171539678.02,27.1,4.25,1.01,51.2
前进科技,2023-11-29,24.78,21.94,25.69,21.39,41319,104168625.86,17.36,-11.43,-2.83,32.34
前进科技,2023-11-30,21.38,21.34,23.12,20.82,27232,63899308.56,10.48,-2.73,-0.6,21.31
前进科技,2023-12-01,21.33,19.44,21.83,19.14,26408,57686828.67,12.61,-8.9,-1.9,20.67
前进科技,2023-12-04,19.39,19.64,20.12,18.84,16389,34868334.23,6.58,1.03,0.2,12.83
前进科技,2023-12-05,19.77,21.1,21.45,19.6,30647,68629697.36,9.42,7.43,1.46,23.98
前进科技,2023-12-06,21.09,20.49,21.52,19.84,23465,52262446.42,7.96,-2.89,-0.61,18.36
前进科技,2023-12-07,20.53,20.91,21.45,20.16,17938,40482535.26,6.3,2.05,0.42,14.04
前进科技,2023-12-08,21.04,22.14,22.29,20.65,28131,65337846.36,7.84,5.88,1.23,22.01
前进科技,2023-12-11,22.04,20.93,22.86,20.37,20028,46017666.31,11.25,-5.47,-1.21,15.67
前进科技,2023-12-12,20.88,21.21,21.79,20.39,13727,31307100.46,6.69,1.34,0.28,10.74
前进科技,2023-12-13,21.08,21.55,22.01,21.04,23105,53800673.18,4.57,1.6,0.34,18.08
前进科技,2023-12-14,21.69,23.29,23.33,21.35,37799,91294840.61,9.19,8.07,1.74,29.58
前进科技,2023-12-15,23.64,24.67,25.52,22.56,50690,130976951.4,12.71,5.93,1.38,39.67
前进科技,2023-12-18,23.82,24.22,24.48,23.2,34318,87494682.47,5.19,-1.82,-0.45,26.86
前进科技,2023-12-19,24.24,22.75,24.24,22.35,25834,63783006.31,7.8,-6.07,-1.47,20.22
前进科技,2023-12-20,22.48,23.53,23.69,22.46,22638,56342820.06,5.41,3.43,0.78,17.72
前进科技,2023-12-21,23.29,20.35,23.99,20.35,30420,71135147.28,15.47,-13.51,-3.18,23.81
前进科技,2023-12-22,20.32,20.67,21.06,19.69,14324,31683961.97,6.73,1.57,0.32,11.21
前进科技,2023-12-25,20.83,21.39,21.44,20.4,14200,32398849.17,5.03,3.48,0.72,11.11
前进科技,2023-12-26,21.32,21.4,22.02,20.72,16097,37241833.23,6.08,0.05,0.01,12.6
前进科技,2023-12-27,21.34,21.24,21.68,20.75,11183,25647939.45,4.35,-0.75,-0.16,8.75
前进科技,2023-12-28,21.16,21.4,21.52,20.95,13696,31383728.07,2.68,0.75,0.16,10.72
前进科技,2023-12-29,21.31,21.82,21.93,21.16,16154,37624974.43,3.6,1.96,0.42,12.64
前进科技,2024-01-02,22.08,22.72,23.12,21.66,25301,60892357.92,6.69,4.12,0.9,19.8
前进科技,2024-01-03,22.82,22.63,22.84,22.09,14978,36068806.62,3.3,-0.4,-0.09,11.72
前进科技,2024-01-04,22.54,23.43,23.73,22.24,22995,56553587.35,6.58,3.54,0.8,18.0
前进科技,2024-01-05,23.23,22.77,24.33,22.22,27771,69075852.34,9.01,-2.82,-0.66,21.73
前进科技,2024-01-08,22.34,20.8,23.03,20.79,15870,37287966.42,9.84,-8.65,-1.97,12.42
前进科技,2024-01-09,20.9,19.85,21.37,19.49,11955,26216598.41,9.04,-4.57,-0.95,9.36
前进科技,2024-01-10,20.03,20.58,20.71,19.34,9005,19741225.78,6.9,3.68,0.73,7.05
前进科技,2024-01-11,20.44,20.96,21.18,20.44,9189,20618696.16,3.6,1.85,0.38,7.19
前进科技,2024-01-12,21.0,18.65,21.33,18.65,13474,29011841.74,12.79,-11.02,-2.31,10.54
前进科技,2024-01-15,18.82,17.61,18.82,17.39,9656,18880543.95,7.67,-5.58,-1.04,7.56
前进科技,2024-01-16,17.93,18.74,19.06,16.65,17068,33252947.1,13.69,6.42,1.13,13.36
前进科技,2024-01-17,18.34,19.34,20.74,17.94,26248,55978622.25,14.94,3.2,0.6,20.54
前进科技,2024-01-18,18.79,20.04,20.22,18.36,23312,49523652.19,9.62,3.62,0.7,18.24
前进科技,2024-01-19,20.37,20.91,21.94,19.62,30450,69206121.41,11.58,4.34,0.87,23.83
前进科技,2024-01-22,20.63,19.04,20.63,18.42,21964,47044756.55,10.57,-8.94,-1.87,17.19
前进科技,2024-01-23,18.74,18.94,19.4,18.34,9908,20336436.05,5.57,-0.53,-0.1,7.75
前进科技,2024-01-24,19.05,18.51,19.31,17.64,11727,23416999.22,8.82,-2.27,-0.43,9.18
前进科技,2024-01-25,18.34,18.31,18.7,17.84,10226,20425178.97,4.65,-1.08,-0.2,8.0
前进科技,2024-01-26,18.11,17.92,18.62,17.92,7038,14059150.96,3.82,-2.13,-0.39,5.51
前进科技,2024-01-29,18.74,16.84,18.81,16.64,10083,19130543.68,12.11,-6.03,-1.08,7.89
前进科技,2024-01-30,16.57,15.68,17.24,14.89,9495,16771973.67,13.95,-6.89,-1.16,7.43
前进科技,2024-01-31,15.78,15.75,16.14,15.63,7529,13236638.87,3.25,0.45,0.07,5.89
前进科技,2024-02-01,15.82,14.33,15.82,14.33,8218,13744035.49,9.46,-9.02,-1.42,6.43
前进科技,2024-02-02,14.2,12.83,15.02,11.34,11942,17539164.58,25.68,-10.47,-1.5,9.35
前进科技,2024-02-05,12.5,11.75,12.78,11.32,8518,11538808.97,11.38,-8.42,-1.08,6.67
前进科技,2024-02-06,12.12,13.48,13.73,11.51,11490,16852942.5,18.89,14.72,1.73,8.99
前进科技,2024-02-07,13.64,13.34,14.99,13.34,12617,19862061.74,12.24,-1.04,-0.14,9.87
前进科技,2024-02-08,13.34,13.54,13.81,11.89,7286,10855362.61,14.39,1.5,0.2,5.7
前进科技,2024-02-19,13.44,14.08,14.12,13.44,7616,11789500.53,5.02,3.99,0.54,5.96
前进科技,2024-02-20,14.49,14.38,14.63,13.98,7100,11397163.69,4.62,2.13,0.3,5.56
前进科技,2024-02-21,14.32,14.31,14.95,14.26,9154,14917624.09,4.8,-0.49,-0.07,7.16
前进科技,2024-02-22,14.07,14.26,14.67,14.07,7404,11806188.81,4.19,-0.35,-0.05,5.79
前进科技,2024-02-23,14.46,13.94,14.5,13.66,7309,11426890.43,5.89,-2.24,-0.32,5.72
前进科技,2024-02-26,13.34,14.33,14.62,13.34,8502,13440474.81,9.18,2.8,0.39,6.65
前进科技,2024-02-27,14.34,16.21,17.14,13.94,22945,40576850.83,22.33,13.12,1.88,17.96
前进科技,2024-02-28,16.22,14.89,17.14,14.54,17037,30033342.72,16.04,-8.14,-1.32,13.33
前进科技,2024-02-29,15.14,15.59,16.02,14.94,10001,17196487.44,7.25,4.7,0.7,7.83
