日期,开盘,收盘,最高,最低,成交量
2015-01-21,1.59,1.93,1.93,1.59,254
2015-01-22,2.12,2.12,2.12,2.12,54
2015-01-23,2.34,2.34,2.34,2.34,60
2015-01-26,2.58,2.58,2.58,2.58,71
2015-01-27,2.84,2.84,2.84,2.84,171
2015-01-28,3.13,3.13,3.13,3.13,247
2015-01-29,3.45,3.45,3.45,3.45,487
2015-01-30,3.8,3.8,3.8,3.8,532
2015-02-02,4.19,4.19,4.19,4.19,1413
2015-02-03,4.61,4.61,4.61,4.61,839
2015-02-04,5.07,5.07,5.07,5.07,861
2015-02-05,5.59,5.59,5.59,5.59,1579
2015-02-06,6.15,6.15,6.15,6.15,41492
2015-02-09,6.77,6.77,6.77,6.77,64539
2015-02-10,7.0,7.45,7.45,6.8,122162
2015-02-11,8.21,8.21,8.21,8.21,5445
2015-02-12,9.03,9.03,9.03,9.03,1118
2015-02-13,9.59,9.94,9.94,9.38,101737
2015-02-27,10.94,10.94,10.94,10.42,87604
2015-03-02,11.58,12.04,12.04,11.49,53716
2015-03-03,13.24,13.24,13.24,13.01,24901
2015-03-04,14.57,14.57,14.57,14.25,23034
2015-03-05,16.04,14.57,16.04,14.47,148217
2015-03-06,14.67,13.56,15.61,13.21,149858
2015-03-09,13.5,13.64,14.02,13.21,84361
2015-03-10,13.54,13.74,14.55,13.4,79529
2015-03-11,13.49,15.12,15.12,13.49,61227
2015-03-12,15.81,13.6,16.05,13.6,82335
2015-03-13,12.87,13.04,13.59,12.67,85756
2015-03-16,13.5,13.72,14.35,13.48,97714
2015-03-17,13.88,14.21,14.81,13.68,94466
2015-03-18,13.66,13.91,14.0,13.21,75010
2015-03-19,13.84,15.31,15.31,13.47,87908
2015-03-20,15.84,16.83,16.85,15.71,118522
2015-03-23,16.62,17.67,18.31,16.44,102941
2015-03-24,17.47,17.49,18.07,16.44,86606
2015-03-25,17.3,16.56,17.65,16.47,68710
2015-03-26,15.86,14.91,15.86,14.9,74591
2015-03-27,14.95,15.04,15.21,14.45,39312
2015-03-30,14.73,14.75,15.23,14.05,45506
2015-03-31,14.61,14.84,15.35,14.61,35596
2015-04-01,14.74,14.85,15.23,14.6,40986
2015-04-02,14.99,15.21,15.35,14.81,45318
2015-04-03,15.05,14.74,15.09,14.56,38810
2015-04-07,14.54,14.91,15.06,14.45,34454
2015-04-08,14.93,14.39,15.05,14.08,43930
2015-04-09,14.39,15.19,15.35,13.04,66505
2015-04-10,14.89,15.39,16.66,14.89,62114
2015-04-13,15.76,16.3,16.76,15.66,61867
2015-04-14,15.93,17.93,17.93,15.66,89276
2015-04-15,17.79,16.13,18.37,16.13,55360
2015-04-16,14.94,14.81,15.72,14.51,68759
2015-04-17,14.78,14.41,15.05,14.35,44828
2015-04-20,14.31,14.51,14.89,13.9,29818
2015-04-21,14.49,14.98,15.05,14.45,32106
2015-04-22,14.85,15.36,15.66,14.77,40089
2015-04-23,15.37,16.2,16.86,14.96,59177
2015-04-24,15.76,15.66,16.9,15.27,47011
2015-04-27,15.76,16.05,17.1,15.76,48146
2015-04-28,16.26,14.69,16.64,14.65,48081
2015-04-29,14.65,15.31,15.43,14.25,33621
2015-04-30,15.39,15.87,16.64,15.39,51220
2015-05-04,15.96,15.15,16.28,15.05,34429
