open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume,名称
11.15,11.12,11.21,11.11,804741.0,896712448.0,2026,1,19,15,0,2026-01-19 15:00,804741.0,平安银行
11.12,11.16,11.2,11.11,772276.0,861694208.0,2026,1,20,15,0,2026-01-20 15:00,772276.0,平安银行
11.15,11.07,11.18,11.06,900124.0,1001045312.0,2026,1,21,15,0,2026-01-21 15:00,900124.0,平安银行
11.07,11.07,11.15,11.05,788634.0,873985792.0,2026,1,22,15,0,2026-01-22 15:00,788634.0,平安银行
11.07,10.99,11.09,10.98,1109994.0,1224886400.0,2026,1,23,15,0,2026-01-23 15:00,1109994.0,平安银行
